"group.1","group.2","group.3","group.4","Metastudy","original study","Species","met.rate.Jh","mass.mg","temp.C"
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.807319,252.06,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.7432,284.71,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.35557,131.27,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.457578,143.01,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.635363,131.48,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus niger",1.882773,218.44,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus niger",1.704988,218.48,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus niger",3.05732,322.89,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus niger",1.754534,279.85,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus niger",1.366905,191.5,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus niger",1.684586,219.31,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus niger",3.447864,331.98,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.247733,49.2,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.288536,63.08,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.174871,47.32,20
